"check","status","detail"
"raw cohort","PASS","exactly replicate_0001.rds through replicate_0100.rds"
"design signature","PASS","65eaf12a536fe20872cf149faaacfcf8325c5f388a14860a36acf26ee3b210ee"
"package contract","PASS","frozen design records DASRA 0.6.0"
"null settings","PASS","balanced standard, balanced low depth, and fourfold no-direct-spike settings"
"sample size","PASS","exactly 50 control and 50 case samples in every frozen dataset"
"fixed panel","PASS","the same 50 prespecified taxa in every method-component family; no support filtering"
"method-component family","PASS","DASRA, ZINQ, and MaAsLin3; two separately reported components each"
"global-null truth","PASS","all structural, observed-prevalence, and abundance truth flags are false"
"decision replay","PASS","raw, common BH, and common BY decisions replayed for 1800 families"
"generator invariants","PASS","probability and inactive-taxon invariants checked for 300 datasets"
"positive support","PASS","100 x 3 x 50 taxon-level support records; no taxa selected by realized support"
"Monte Carlo unit","PASS","replication; cluster-t intervals use 100 independent replication summaries"
"multiplicity families","PASS","BH and BY are recalculated within each fixed 50-taxon method-component family"
"missing-result policy","PASS","unavailable or invalid p-values are non-rejections and p=1 in operational tail summaries"
"paired comparison","PASS","method differences are paired within replication and restricted to the same broad domain"
"output readback","PASS","null_calibration=18 rows; pvalue_tail=108 rows; positive_support=150 rows; paired_differences=90 rows"
