"dataset_id","dataset_label","component","reason","taxa_count"
"microbiomehd_zupancic_obesity","Zupancic Old Order Amish obesity","present-conditional abundance","Conditional-present root refinement did not improve the objective",1
"microbiomehd_zupancic_obesity","Zupancic Old Order Amish obesity","combined","Present-conditional abundance result was unavailable",1
"qiita_1671_produce_farming","Qiita 1671 fresh-produce farming-practice cohort","structural absence","Conditional-present fit design was rank deficient",255
"qiita_1671_produce_farming","Qiita 1671 fresh-produce farming-practice cohort","structural absence","Conditional-present fit remained on a parameter boundary",1
"qiita_1671_produce_farming","Qiita 1671 fresh-produce farming-practice cohort","structural absence","Structural-absence inference derivative was unstable",1
"qiita_1671_produce_farming","Qiita 1671 fresh-produce farming-practice cohort","present-conditional abundance","Conditional-present fit design was rank deficient",255
"qiita_1671_produce_farming","Qiita 1671 fresh-produce farming-practice cohort","present-conditional abundance","Conditional-present fit had non-positive information",16
"qiita_1671_produce_farming","Qiita 1671 fresh-produce farming-practice cohort","present-conditional abundance","Conditional-present root refinement did not close",10
"qiita_1671_produce_farming","Qiita 1671 fresh-produce farming-practice cohort","present-conditional abundance","Conditional-present root refinement did not improve the objective",5
"qiita_1671_produce_farming","Qiita 1671 fresh-produce farming-practice cohort","present-conditional abundance","Conditional-present fit retained a non-negligible gradient",2
"qiita_1671_produce_farming","Qiita 1671 fresh-produce farming-practice cohort","combined","Both component results were unavailable",257
"qiita_1671_produce_farming","Qiita 1671 fresh-produce farming-practice cohort","combined","Present-conditional abundance result was unavailable",31
"qiita_11624_twinsuk_urobiome_age","Qiita 11624 TwinsUK urinary microbiome age cohort","structural absence","Conditional-present fit retained a non-negligible gradient",4
"qiita_11624_twinsuk_urobiome_age","Qiita 11624 TwinsUK urinary microbiome age cohort","structural absence","Conditional-present fit remained on a parameter boundary",2
"qiita_11624_twinsuk_urobiome_age","Qiita 11624 TwinsUK urinary microbiome age cohort","structural absence","Structural-absence nuisance fit was not optimal",49
"qiita_11624_twinsuk_urobiome_age","Qiita 11624 TwinsUK urinary microbiome age cohort","present-conditional abundance","Conditional-present fit retained a non-negligible gradient",1
"qiita_11624_twinsuk_urobiome_age","Qiita 11624 TwinsUK urinary microbiome age cohort","combined","Both component results were unavailable",1
"qiita_11624_twinsuk_urobiome_age","Qiita 11624 TwinsUK urinary microbiome age cohort","combined","Structural-absence result was unavailable",54
"ravel_vaginal_ethnicity","Ravel cross-sectional vaginal microbiome cohort","present-conditional abundance","Conditional-present fit had non-positive information",1
"ravel_vaginal_ethnicity","Ravel cross-sectional vaginal microbiome cohort","present-conditional abundance","Conditional-present root refinement did not close",1
"ravel_vaginal_ethnicity","Ravel cross-sectional vaginal microbiome cohort","combined","Present-conditional abundance result was unavailable",2
"qiita_1939_pediatric_crohn","Qiita 1939 pediatric Crohn's disease comparison","structural absence","Conditional-present fit retained a non-negligible gradient",14
"qiita_1939_pediatric_crohn","Qiita 1939 pediatric Crohn's disease comparison","structural absence","Structural-absence nuisance fit was not optimal",13
"qiita_1939_pediatric_crohn","Qiita 1939 pediatric Crohn's disease comparison","structural absence","Conditional-present fit remained on a parameter boundary",12
"qiita_1939_pediatric_crohn","Qiita 1939 pediatric Crohn's disease comparison","structural absence","Structural-absence inference derivative was unstable",1
"qiita_1939_pediatric_crohn","Qiita 1939 pediatric Crohn's disease comparison","present-conditional abundance","Conditional-present root refinement did not close",9
"qiita_1939_pediatric_crohn","Qiita 1939 pediatric Crohn's disease comparison","present-conditional abundance","Conditional-present fit retained a non-negligible gradient",8
"qiita_1939_pediatric_crohn","Qiita 1939 pediatric Crohn's disease comparison","present-conditional abundance","Conditional-present fit had non-positive information",6
"qiita_1939_pediatric_crohn","Qiita 1939 pediatric Crohn's disease comparison","present-conditional abundance","Conditional-present root refinement did not improve the objective",5
"qiita_1939_pediatric_crohn","Qiita 1939 pediatric Crohn's disease comparison","present-conditional abundance","Conditional-present fit did not converge",1
"qiita_1939_pediatric_crohn","Qiita 1939 pediatric Crohn's disease comparison","combined","Both component results were unavailable",15
"qiita_1939_pediatric_crohn","Qiita 1939 pediatric Crohn's disease comparison","combined","Structural-absence result was unavailable",25
"qiita_1939_pediatric_crohn","Qiita 1939 pediatric Crohn's disease comparison","combined","Present-conditional abundance result was unavailable",14
"gems_pediatric_diarrhea","GEMS pediatric diarrhea","structural absence","Structural-absence nuisance fit was not optimal",3
"gems_pediatric_diarrhea","GEMS pediatric diarrhea","structural absence","Structural-absence inference derivative was unstable",1
